ькхжебше щбнкэбемрмше янедхмемхъ цняр 6033-80,
               пюглепш Б лл
+------+-------+-----------+----------------+
|      |       | дхюлерп   |  нангмювемхе   |
|вхякн |лндскэ |нйпсфмнярх |                |
|гсаэеб|       | бшярсонб  |                |
+------+-------+-----------+----------------+
|       лндскэ 0.5         |                |
|------+-------+-----------+----------------|
|  11  |  0.8  |     10    |   10x0.8x11    |
|  13  |  0.8  |     12    |   12x0.8x13    |
|  16  |  0.8  |     14    |   14x0.8x16    |
|  17  |  0.8  |     15    |   15x0.8x17    |
|  18  |  0.8  |     16    |   16x0.8x18    |
|  20  |  0.8  |     17    |   17x0.8x20    |
|  21  |  0.8  |     18    |   18x0.8x21    |
|  23  |  0.8  |     20    |   20x0.8x23    |
|  26  |  0.8  |     22    |   22x0.8x26    |
|  30  |  0.8  |     25    |   25x0.8x30    |
|  34  |  0.8  |     28    |   28x0.8x34    |
|  36  |  0.8  |     30    |   30x0.8x36    |
|  38  |  0.8  |     32    |   32x0.8x38    |
|  42  |  0.8  |     35    |   35x0.8x42    |
|  46  |  0.8  |     38    |   38x0.8x46    |
|  48  |  0.8  |     40    |   40x0.8x48    |
|  51  |  0.8  |     42    |   42x0.8x51    |
|  55  |  0.8  |     45    |   45x0.8x55    |
|  58  |  0.8  |     48    |   48x0.8x58    |
|  60  |  0.8  |     50    |   50x0.8x60    |
|  64  |  0.8  |     52    |   52x0.8x64    |
|  66  |  0.8  |     55    |   55x0.8x66    |
|  70  |  0.8  |     58    |   58x0.8x70    |
|  74  |  0.8  |     60    |   60x0.8x74    |
|------+-------+-----------+----------------|
|       лндскэ 1           |                |
|------+-------+-----------+----------------|
|   6  |  1    |      8    |    8x1x6       |
|   7  |  1    |      9    |    9x1x7       |
|   8  |  1    |     10    |   10x1x8       |
|  10  |  1    |     12    |   12x1x10      |
|  12  |  1    |     14    |   14x1x12      |
|  13  |  1    |     15    |   15x1x13      |
|  14  |  1    |     16    |   16x1x14      |
|  15  |  1    |     17    |   17x1x15      |
|  16  |  1    |     18    |   18x1x16      |
|  18  |  1    |     20    |   20x1x18      |
|  20  |  1    |     22    |   22x1x20      |
|  24  |  1    |     25    |   25x1x24      |
|  26  |  1    |     28    |   28x1x26      |
|  28  |  1    |     30    |   30x1x28      |
|  30  |  1    |     32    |   32x1x30      |
|  34  |  1    |     35    |   35x1x34      |
|  36  |  1    |     38    |   38x1x36      |
|  38  |  1    |     40    |   40x1x38      |
|  40  |  1    |     42    |   42x1x40      |
|  44  |  1    |     45    |   45x1x44      |
|  46  |  1    |     48    |   48x1x46      |
|  48  |  1    |     50    |   50x1x48      |
|  50  |  1    |     52    |   52x1x50      |
|  54  |  1    |     55    |   55x1x54      |
|  56  |  1    |     58    |   58x1x56      |
|  58  |  1    |     60    |   60x1x58      |
|------+-------+-----------+----------------|
|       лндскэ 1.25        |                |
|------+-------+-----------+----------------|
|   6  |  1.25 |    10     |   10x1.25x6    |
|   8  |  1.25 |    12     |   12x1.25x8    |
|  10  |  1.25 |    14     |   14x1.25x10   |
|  10  |  1.25 |    15     |   15x1.25x10   |
|  11  |  1.25 |    16     |   16x1.25x11   |
|  12  |  1.25 |    17     |   17x1.25x12   |
|  13  |  1.25 |    18     |   18x1.25x13   |
|  14  |  1.25 |    20     |   20x1.25x14   |
|  16  |  1.25 |    22     |   22x1.25x16   |
|  18  |  1.25 |    25     |   25x1.25x18   |
|  21  |  1.25 |    28     |   28x1.25x21   |
|  22  |  1.25 |    30     |   30x1.25x22   |
|  24  |  1.25 |    32     |   32x1.25x24   |
|  26  |  1.25 |    35     |   35x1.25x26   |
|  29  |  1.25 |    38     |   38x1.25x29   |
|  30  |  1.25 |    40     |   40x1.25x30   |
|  32  |  1.25 |    42     |   42x1.25x32   |
|  34  |  1.25 |    45     |   45x1.25x34   |
|  37  |  1.25 |    48     |   48x1.25x37   |
|  38  |  1.25 |    50     |   50x1.25x38   |
|  40  |  1.25 |    52     |   52x1.25x40   |
|  42  |  1.25 |    55     |   55x1.25x42   |
|  45  |  1.25 |    58     |   58x1.25x45   |
|  46  |  1.25 |    60     |   60x1.25x46   |
|  48  |  1.25 |    62     |   62x1.25x48   |
|  50  |  1.25 |    65     |   65x1.25x50   |
|  53  |  1.25 |    68     |   68x1.25x53   |
|  54  |  1.25 |    70     |   70x1.25x54   |
|  56  |  1.25 |    72     |   72x1.25x56   |
|  58  |  1.25 |    75     |   75x1.25x58   |
|  60  |  1.25 |    78     |   78x1.25x60   |
|  62  |  1.25 |    80     |   80x1.25x62   |
|------+-------+-----------+----------------|
|       лндскэ 1.5         |                |
|------+-------+-----------+----------------|
|   6  |  1.5  |    12     |   12x1.5x6     |
|   8  |  1.5  |    14     |   14x1.5x8     |
|   8  |  1.5  |    15     |   15x1.5x8     |
|   9  |  1.5  |    16     |   16x1.5x9     |
|  10  |  1.5  |    17     |   17x1.5x10    |
|  10  |  1.5  |    18     |   18x1.5x10    |
|  12  |  1.5  |    20     |   20x1.5x12    |
|  13  |  1.5  |    22     |   22x1.5x13    |
|  15  |  1.5  |    25     |   25x1.5x15    |
|  17  |  1.5  |    28     |   28x1.5x17    |
|  18  |  1.5  |    30     |   30x1.5x18    |
|  20  |  1.5  |    32     |   32x1.5x20    |
|  22  |  1.5  |    35     |   35x1.5x22    |
|  24  |  1.5  |    38     |   38x1.5x24    |
|  25  |  1.5  |    40     |   40x1.5x25    |
