  Размеры трапециадальных резьб ГОСТ 9484-81 в мм.
+-------------+----+-------+-------+-------+------+
|Обозначение  |Шаг |Наpуж- |Cредний|Внутрен|Фаска |
|  pезьбы     |    | ный   |диаметр| ний   |      |
|             |    |диаметp|       |диаметp|      |
|             |    |       |       |       |      |
+-------------+----+-------+-------+-------+------+
|    65x10    |10  |  65   | 60    | 54    |  5.5 |
|    70x10    |10  |  70   | 65    | 59    |  5.5 |
|    75x10    |10  |  75   | 70    | 64    |  5.5 |
|    80x10    |10  |  80   | 75    | 69    |  5.5 |
|    200x10   |10  |  200  |195    |189    |  5.5 |
|    210x10   |10  |  210  |205    |199    |  5.5 |
|    220x10   |10  |  220  |215    |209    |  5.5 |
|   44x12     |12  |  44   | 38    | 31    |  6.5 |
|   46x12     |12  |  46   | 40    | 33    |  6.5 |
|   48x12     |12  |  48   | 42    | 35    |  6.5 |
|   50x12     |12  |  50   | 44    | 37    |  6.5 |
|   52x12     |12  |  52   | 46    | 39    |  6.5 |
|   55x12     |12  |  55   | 49    | 42    |  6.5 |
|   60x12     |12  |  60   | 54    | 47    |  6.5 |
|   85x12     |12  |  85   | 79    | 72    |  6.5 |
|   90x12     |12  |  90   | 84    | 77    |  6.5 |
|   95x12     |12  |  95   | 89    | 82    |  6.5 |
|   100x12    |12  |  100  | 94    | 87    |  6.5 |
|   110x12    |12  |  110  |104    | 97    |  6.5 |
|   240x12    |12  |  240  |234    |227    |  6.5 |
|   250x12    |12  |  250  |244    |237    |  6.5 |
|   260x12    |12  |  260  |254    |247    |  6.5 |
|   270x12    |12  |  270  |264    |257    |  6.5 |
|   280x12    |12  |  280  |274    |267    |  6.5 |
|   290x12    |12  |  290  |284    |277    |  6.5 |
|   300x12    |12  |  300  |294    |287    |  6.5 |
|   320x12    |12  |  320  |314    |307    |  6.5 |
|   340x12    |12  |  340  |334    |327    |  6.5 |
|   360x12    |12  |  360  |354    |347    |  6.5 |
|   380x12    |12  |  380  |374    |367    |  6.5 |
|   400x12    |12  |  400  |394    |387    |  6.5 |
|    55x14    |14  |  55   | 48    | 39    |  8   |
|    60x14    |14  |  60   | 53    | 44    |  8   |
|    120x14   |14  |  120  |113    |104    |  8   |
|    130x14   |14  |  130  |123    |114    |  8   |
|    140x14   |14  |  140  |133    |124    |  8   |
|   65x16     |16  |  65   | 57    | 47    |  9   |
|   70x16     |16  |  70   | 62    | 52    |  9   |
|   75x16     |16  |  75   | 67    | 57    |  9   |
|   80x16     |16  |  80   | 72    | 62    |  9   |
|    120x16   |16  | 120   |112    |102    |  9   |
|    130x16   |16  | 130   |122    |112    |  9   |
|    140x16   |16  | 140   |132    |122    |  9   |
|    150x16   |16  | 150   |142    |132    |  9   |
|    160x16   |16  | 160   |152    |142    |  9   |
|    170x16   |16  | 170   |162    |152    |  9   |
|    160x16   |16  | 160   |152    |142    |  9   |
|    420x16   |16  | 420   |412    |402    |  9   |
|    440x16   |16  | 440   |432    |422    |  9   |
|    460x16   |16  | 460   |452    |442    |  9   |
|    480x16   |16  | 480   |472    |462    |  9   |
|    500x16   |16  | 500   |492    |482    |  9   |
|   85x18     |18  |  85   | 76    | 65    |  10  |
|   90x18     |18  |  90   | 81    | 70    |  10  |
|   95x18     |18  |  95   | 86    | 75    |  10  |
|    180x18   |18  | 180   |171    |160    |  10  |
|    190x18   |18  | 190   |181    |170    |  10  |
|    200x18   |18  | 200   |191    |180    |  10  |
|   85x20     |20  |  85   | 75    | 63    |  11  |
|   90x20     |20  |  90   | 80    | 68    |  11  |
|   95x20     |20  |  95   | 85    | 73    |  11  |
|   100x20    |20  | 100   | 90    | 78    |  11  |
|   110x20    |20  | 110   |100    | 88    |  11  |
|   180x20    |20  | 180   |170    |158    |  11  |
|   190x20    |20  | 190   |180    |168    |  11  |
|   200x20    |20  | 200   |190    |178    |  11  |
|   210x20    |20  | 210   |200    |180    |  11  |
|   220x20    |20  | 220   |210    |198    |  11  |
|   230x20    |20  | 230   |220    |208    |  11  |
|   520x20    |20  | 520   |510    |498    |  11  |
|   540x20    |20  | 540   |530    |518    |  11  |
|   560x20    |20  | 560   |550    |538    |  11  |
|   580x20    |20  | 580   |570    |558    |  11  |
|    120x22   |22  | 120   |109    | 96    |  12  |
|    130x22   |22  | 130   |119    |106    |  12  |
|    240x22   |22  | 240   |229    |216    |  12  |
|    250x22   |22  | 250   |239    |226    |  12  |
|    260x22   |22  | 260   |249    |236    |  12  |
|   120x24    |24  | 120   |108    | 94    |  13  |
|   130x24    |24  | 130   |118    |104    |  13  |
|   140x24    |24  | 140   |128    |114    |  13  |
|   150x24    |24  | 150   |138    |124    |  13  |
|   160x24    |24  | 160   |148    |134    |  13  |
|   170x24    |24  | 170   |158    |144    |  13  |
|   240x24    |24  | 240   |228    |214    |  13  |
|   250x24    |24  | 250   |238    |224    |  13  |
|   260x24    |24  | 260   |248    |234    |  13  |
|   270x24    |24  | 270   |258    |244    |  13  |
|   280x24    |24  | 280   |268    |254    |  13  |
|   290x24    |24  | 290   |278    |264    |  13  |
|   300x24    |24  | 300   |288    |274    |  13  |
|   600x24    |24  | 600   |588    |574    |  13  |
|   620x24    |24  | 620   |608    |594    |  13  |
|   640x24    |24  | 640   |628    |614    |  13  |
|    160x28   |28  | 160   |146    |130    |  16  |
|    170x28   |28  | 170   |156    |140    |  16  |
