        РАДИУСЫ ГАЛТЕЛЕЙ
+---------+-----------+-----------+
|   D     |     R     |     R     |
| вала    |галтели вал|    подш   |
+---------+-----------+-----------+
|0  - 5   |    0.1    |    0.2    |
|5  - 20  |    0.2    |    0.3    |
|20 - 25  |    0.3    |    0.6    |
|25 - 50  |    0.6    |    1.0    |
|50 - 80  |    1.0    |    1.5    |
|80 - 100 |    1      |    2.0    |
+---------+-----------+-----------+
