      ÿÀ»÷≈¬€≈ ›¬ŒÀ‹¬≈Õ“Õ€≈ —Œ≈ƒ»Õ≈Õ»ﬂ ,
               –¿«Ã≈–€ ‚ ÃÃ
+------+-------+-----------+----------------¨
|      |       | ƒ»¿Ã≈“–   |  Œ¡Œ«Õ¿◊≈Õ»≈   |
|◊»—ÀŒ |ÃŒƒ”À‹ |Œ –”∆ÕŒ—“» |                |
|«”¡‹≈¬|       | ¬€—“”œŒ¬  |                |
+------+-------+-----------+----------------|
|       ÃŒƒ”À‹ 1           |                |
|--------------------------+----------------|
|  14  |  2.5  |     38    |   38x2,5x14    |
|  14  |  2.5  |     40    |   40x2,5x14    |
|  15  |  2.5  |     42    |   42x2,5x15    |
|  16  |  2.5  |     45    |   45x2,5x16    |
|  18  |  2.5  |     48    |   48x2,5x18    |
|  18  |  2.5  |     50    |   50x2,5x18    |
|  19  |  2.5  |     52    |   52x2,5x19    |
|  20  |  2.5  |     55    |   55x2,5x20    |
|  22  |  2.5  |     58    |   58x2,5x22    |
|  22  |  2.5  |     60    |   60x2,5x22    |
|  23  |  2.5  |     62    |   62x2,5x23    |
|  24  |  2.5  |     65    |   65x2,5x24    |
|  26  |  2.5  |     68    |   68x2,5x26    |
|  26  |  2.5  |     70    |   70x2,5x26    |
|  27  |  2.5  |     72    |   72x2,5x27    |
|  28  |  2.5  |     75    |   75x2,5x28    |
|  30  |  2.5  |     78    |   78x2,5x30    |
|  30  |  2.5  |     80    |   80x2,5x30    |
|  31  |  2.5  |     82    |   82x2,5x31    |
|  32  |  2.5  |     85    |   85x2,5x32    |
|  34  |  2.5  |     88    |   88x2,5x34    |
|  34  |  2.5  |     90    |   90x2,5x34    |
|  35  |  2.5  |     92    |   92x2,5x35    |
|  36  |  2.5  |     95    |   95x2,5x36    |
|  38  |  2.5  |     98    |   98x2,5x38    |
|  38  |  2.5  |    100    |   100x2,5x38   |
|  40  |  2.5  |    105    |   105x2,5x40   |
|  42  |  2.5  |    110    |   110x2,5x42   |
|  46  |  2.5  |    120    |   120x2,5x46   |
|  50  |  2.5  |    130    |   130x2,5x50   |
|  54  |  2.5  |    140    |   140x2,5x54   |
|  58  |  2.5  |    150    |   150x2,5x58   |
|--------------------------+----------------|
|       ÃŒƒ”À‹ 3.5         |                |
|--------------------------+----------------|
|  12  |  3.5  |     45    |   45x3,5x12    |
|  12  |  3.5  |     48    |   48x3,5x12    |
|  12  |  3.5  |     50    |   50x3,5x12    |
|  12  |  3.5  |     52    |   52x3,5x12    |
|  14  |  3.5  |     55    |   55x3,5x14    |
|  14  |  3.5  |     58    |   58x3,5x14    |
|  16  |  3.5  |     60    |   60x3,5x16    |
|  16  |  3.5  |     62    |   62x3,5x16    |
|  18  |  3.5  |     65    |   65x3,5x18    |
|  18  |  3.5  |     68    |   68x3,5x18    |
|  18  |  3.5  |     70    |   70x3,5x18    |
|  20  |  3.5  |     72    |   72x3,5x20    |
|  20  |  3.5  |     75    |   75x3,5x20    |
|  21  |  3.5  |     78    |   78x3,5x21    |
|  22  |  3.5  |     80    |   80x3,5x22    |
|  22  |  3.5  |     82    |   82x3,5x22    |
|  24  |  3.5  |     85    |   85x3,5x24    |
|  24  |  3.5  |     88    |   88x3,5x24    |
|  24  |  3.5  |     90    |   90x3,5x24    |
|  25  |  3.5  |     92    |   92x3,5x25    |
|  26  |  3.5  |     95    |   95x3,5x26    |
|  26  |  3.5  |     98    |   98x3,5x26    |
