Нормы плавности работы. Коэффициент Fpb. ГОСТ 1643-81 
                                                    
+-------------+-------------------------+ ------------
| Модуль m,мм |           | Делительный |            |
|             | Степень   | диаметр, мм |  Значение  |
+-------------| точности  +-------------|   коеф-та  |
| MIN  | MAX  |           | MIN  | MAX  |            |
+-------------+-----------+-------------+------------+
|           Степень точности 5                       |
|  10  |  16  |     7     | 4000 | 6300 |    38      |
|  16  |  25  |     7     | 4000 | 6300 |    42      |
+-------------+-----------+-------------+------------+
|           Степень точности 8                       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     8     |  0   |  125 |    19      |
|  3.5 |  6.3 |     8     |  0   |  125 |    24      |
|  6.3 |  10  |     8     |  0   |  125 |    26      |
|  10  |  16  |     8     |  0   |  125 |    -       |
|  16  |  25  |     8     |  0   |  125 |    -       | 
|  25  |  40  |     8     |  0   |  125 |    -       | 
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     8     |  125 |  400 |    21      |
|  3.5 |  6.3 |     8     |  125 |  400 |    26      |
|  6.3 |  10  |     8     |  125 |  400 |    30      |
|  10  |  16  |     8     |  125 |  400 |    34      |
|  16  |  25  |     8     |  125 |  400 |    42      |
|  25  |  40  |     8     |  125 |  400 |    -       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     8     |  400 |  800 |    24      |
|  3.5 |  6.3 |     8     |  400 |  800 |    26      |
|  6.3 |  10  |     8     |  400 |  800 |    34      |
|  10  |  16  |     8     |  400 |  800 |    38      |
|  16  |  25  |     8     |  400 |  800 |    48      |
|  25  |  40  |     8     |  400 |  800 |    60      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     8     |  800 | 1600 |    26      |
|  3.5 |  6.3 |     8     |  800 | 1600 |    30      |
|  6.3 |  10  |     8     |  800 | 1600 |    34      |
|  10  |  16  |     8     |  800 | 1600 |    38      |
|  16  |  25  |     8     |  800 | 1600 |    48      |
|  25  |  40  |     8     |  800 | 1600 |    60      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     8     | 1600 | 2500 |    30      |
|  3.5 |  6.3 |     8     | 1600 | 2500 |    34      |
|  6.3 |  10  |     8     | 1600 | 2500 |    38      |
|  10  |  16  |     8     | 1600 | 2500 |    42      |
|  16  |  25  |     8     | 1600 | 2500 |    53      |
|  25  |  40  |     8     | 1600 | 2500 |    67      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     8     | 2500 | 4000 |    -       |
|  3.5 |  6.3 |     8     | 2500 | 4000 |    38      |
|  6.3 |  10  |     8     | 2500 | 4000 |    42      |
|  10  |  16  |     8     | 2500 | 4000 |    48      |
|  16  |  25  |     8     | 2500 | 4000 |    53      |
|  25  |  40  |     8     | 2500 | 4000 |    67      |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     8     | 4000 | 6300 |    -       |
|  3.5 |  6.3 |     8     | 4000 | 6300 |    -       |
|  6.3 |  10  |     8     | 4000 | 6300 |    48      |
|  10  |  16  |     8     | 4000 | 6300 |    53      |
|  16  |  25  |     8     | 4000 | 6300 |    60      |
|  25  |  40  |     8     | 4000 | 6300 |    75      | 
+-------------+-----------+-------------+------------+
|           Степень точности 9                       |
+-------------+-----------+-------------+------------+
|  1   |  3.5 |     9     |  0   |  125 |    26      |
|  3.5 |  6.3 |     9     |  0   |  125 |    34      |
|  6.3 |  10  |     9     |  0   |  125 |    38      |
|  10  |  16  |     9     |  0   |  125 |    -       |
|  16  |  25  |     9     |  0   |  125 |    -       |
|  25  |  40  |     9     |  0   |  125 |    -       |
|  40  |  55  |     9     |  0   |  125 |    -       |
+-------------+-----------+-------------+------------+
