        йнщттхжхемрш X Y дкъ пюяверю дхмюлхвеяйни мюцпсгйх

                     сцнк йнмрюйрю - 15
+----------+----+------------+------------+------------+------------╛
 i*Fa/C0   | e  | ндмнпъдмше | ндмнпъдмше | дбсупъдмше | дбсупъдмше |
           |    |(Fa/V*Fr)<=e|(Fa/V*Fr)>e |(Fa/V*Fr)<=e|(Fa/V*Fr)>e |
           |    |  X  |  Y   |  X  |  Y   |  X  |  Y   |  X  |  Y   |
+----------+----+-----+------+-----+------+-----+------+------------+
0.000-0.015|0.38|  1  |  0   |0.44 |1.47  |  1  |1.65  |0.72 |2.39  |
0.015-0.029|0.40|  1  |  0   |0.44 |1.40  |  1  |1.57  |0.72 |2.28  |
0.029-0.058|0.43|  1  |  0   |0.44 |1.30  |  1  |1.46  |0.72 |2.11  |
0.058-0.087|0.46|  1  |  0   |0.44 |1.23  |  1  |1.38  |0.72 |2.00  |
0.087-0.120|0.47|  1  |  0   |0.44 |1.19  |  1  |1.34  |0.72 |1.93  |
0.120-0.170|0.50|  1  |  0   |0.44 |1.12  |  1  |1.26  |0.72 |1.82  |
0.170-0.290|0.55|  1  |  0   |0.44 |1.02  |  1  |1.14  |0.72 |1.66  |
0.290-0.440|0.56|  1  |  0   |0.44 |1.00  |  1  |1.12  |0.72 |1.63  |
0.440-9.999|0.56|  1  |  0   |0.44 |1.00  |  1  |1.12  |0.72 |1.63  |
+----------+----+-----+------+-----+------+-----+------+------------+
---------------------------------------------------------------------
