		κξύττ Y
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Z2 |  16  |  17  |  18  |  19  |  20  |  21  |  22  |  24  |   26 |   28 |  30  |  32  |  35  |  37  |  40  |  45  |  50  |  60  |   80 | 100  |150   |300   |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Y  | 0.095| 0.096| 0.098| 0.099| 0.1  | 0.101| 0.103| 0.105| 0.107| 0.11 | 0.113| 0.116| 0.12 | 0.123| 0.128| 0.133| 0.136| 0.141| 0.148| 0.152| 0.155| 0.16 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+
  
