        йнщттхжхемрш X Y дкъ пюяверю дхмюлхвеяйни мюцпсгйх

                     сцнк йнмрюйрю - 5
+----------+----+------------+------------+------------+------------╛
 i*Fa/C0   | e  | ндмнпъдмше | ндмнпъдмше | дбсупъдмше | дбсупъдмше |
           |    |(Fa/V*Fr)<=e|(Fa/V*Fr)>e |(Fa/V*Fr)<=e|(Fa/V*Fr)>e |
           |    |  X  |  Y   |  X  |  Y   |  X  |  Y   |  X  |  Y   |
+----------+----+-----+------+-----+------+-----+------+-----+------+
0.000-0.014|0.23|  1  |  0   |0.56 |2.30  |  1  |2.78  |0.78 |3.74  |
0.014-0.028|0.26|  1  |  0   |0.56 |1.99  |  1  |2.40  |0.78 |3.23  |
0.028-0.056|0.30|  1  |  0   |0.56 |1.71  |  1  |2.07  |0.78 |2.78  |
0.056-0.085|0.34|  1  |  0   |0.56 |1.55  |  1  |1.87  |0.78 |2.52  |
0.085-0.110|0.36|  1  |  0   |0.56 |1.45  |  1  |1.75  |0.78 |2.36  |
0.110-0.170|0.40|  1  |  0   |0.56 |1.31  |  1  |1.58  |0.78 |2.13  |
0.170-0.280|0.45|  1  |  0   |0.56 |1.15  |  1  |1.39  |0.78 |1.87  |
0.280-0.420|0.50|  1  |  0   |0.56 |1.04  |  1  |1.26  |0.78 |1.69  |
0.420-9.999|0.52|  1  |  0   |0.56 |1.00  |  1  |1.21  |0.78 |1.63  |
+----------+----+-----+------+-----+------+-----+------+-----+------+
---------------------------------------------------------------------
