Коэфф смещения для ортогон конич зубч передач с круговыми зуб-ми при исх контуре по ГОСТ 16202-70
+--------+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+-----+beta-св15 до29
|число   |     |     |     |     |     |     |     |     |      |     |     |     |передат отнош
|зуб     | 1   | 1.12|1.25 | 1.4 | 1.6 | 1.8 | 2.0 | 2.5 | 3.15 | 4.0 | 5.0 | 6.3 |
|шестерни|     |     |     |     |     |     |     |     |      |     |     |     |
|   z1   |     |     |     |     |     |     |     |     |      |     |     |     |
+--------+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+-----+
|10(b>28)|  -  |  -  |  -  |  -  |  -  |   - |   - |  -  | 0.49 | 0.52|0.53 |0.54 |
|11(b>25)|  -  |  -  |  -  |  -  |  -  |   - |   - |  -  | 0.48 | 0.49|0.51 |0.52 |
|12(b>20)|  -  |  -  |  -  |  -  |  -  |   - |   - | 0.42| 0.46 | 0.48|0.49 |0.50 |
|  13    |  -  |  -  |  -  |  -  |  -  | 0.33| 0.37| 0.40| 0.43 | 0.45|0.47 |0.48 |
|  14    |  -  |  -  |  -  |0.21 | 0.26| 0.32| 0.36| 0.39| 0.42 | 0.44|0.45 |0.46 |
|  15    |  -  |  -  | 0.14|0.20 | 0.25| 0.30| 0.34| 0.37| 0.40 | 0.42|0.43 |0.43 |
|  16    |  -  | 0.07| 0.14|0.20 | 0.24| 0.29| 0.32| 0.35| 0.38 | 0.40|0.41 |0.42 |
|  17    |  0  | 0.06| 0.13|0.19 | 0.23| 0.28| 0.31| 0.34| 0.37 | 0.39|0.40 |0.41 |
|  18    |  0  | 0.06| 0.12|0.18 | 0.22| 0.27| 0.30| 0.33| 0.36 | 0.38|0.39 |0.39 |
|  20    |  0  | 0.05| 0.11|0.16 | 0.21| 0.24| 0.26| 0.29| 0.33 | 0.35|0.36 |0.36 |
|  25    |  0  | 0.05| 0.10|0.14 | 0.18| 0.20| 0.23| 0.25| 0.28 | 0.30|0.31 |0.32 |
|  30    |  0  | 0.04| 0.08|0.12 | 0.15| 0.18| 0.20| 0.22| 0.25 | 0.26|0.27 |0.27 |
|  40    |  0  | 0.03| 0.05|0.08 | 0.12| 0.14| 0.16| 0.18| 0.20 | 0.20|0.21 |0.22 |
+--------+-----+-----+-----+-----+-----+-----+-----+-----+------+-----+-----+------
