        йнщттхжхемрш X Y дкъ пюяверю дхмюлхвеяйни мюцпсгйх

                     сцнк йнмрюйрю - 0
+----------+----+------------+------------+------------+------------╛
 i*Fa/C0   | e  | ндмнпъдмше | ндмнпъдмше | дбсупъдмше | дбсупъдмше |
           |    |(Fa/V*Fr)<=e|(Fa/V*Fr)>e |(Fa/V*Fr)<=e|(Fa/V*Fr)>e |
           |    |  X  |  Y   |  X  |  Y   |  X  |  Y   |  X  |  Y   |
+----------+----+-----+------+-----+------+-----+------+-----+------+
0.000-0.014|0.19|  1  |  0   |0.56 |2.30  |  1  |  0   |0.56 |2.30  |
0.014-0.028|0.22|  1  |  0   |0.56 |1.99  |  1  |  0   |0.56 |1.99  |
0.028-0.056|0.26|  1  |  0   |0.56 |1.71  |  1  |  0   |0.56 |1.71  |
0.056-0.084|0.28|  1  |  0   |0.56 |1.55  |  1  |  0   |0.56 |1.55  |
0.084-0.110|0.30|  1  |  0   |0.56 |1.45  |  1  |  0   |0.56 |1.45  |
0.110-0.170|0.34|  1  |  0   |0.56 |1.31  |  1  |  0   |0.56 |1.31  |
0.170-0.280|0.38|  1  |  0   |0.56 |1.15  |  1  |  0   |0.56 |1.15  |
0.280-0.420|0.42|  1  |  0   |0.56 |1.04  |  1  |  0   |0.56 |1.04  |
0.420-9.999|0.44|  1  |  0   |0.56 |1.00  |  1  |  0   |0.56 |1.00  |
+----------+----+-----+------+-----+------+-----+------+-----+------+
---------------------------------------------------------------------
                                                                     
