                   МАТЕРИАЛ ДЛЯ ЗУБЧАТОГО КОЛЕСА

Ho - твердость поверхности зубчатого колеса
Hk - твердость сердцевины зубчатого колеса
SIGMA_Flimb - предел выносливости зубьев при изгибе, соответствующий базовому числу циклов напряжений, МПа
Sf - коэффициент запаса прочности при расчете зубьев на изгибную выносливость 
SIGMA_Fst - Базовое значение предельного напряжения при изгибе максимальной нагрузкой, МПа
SIGMA_T - Предел текучести материала, МПа
E - модуль упругости материала зубчатого колеса
V - коэффициент Пуассона
Тип стали - Легированная, Углеродистая
Yg - Коэффициент, учитывающий шлифование переходной поверхности                                                 
Yd - Коэффициент, учитывающий деформационное упрочнение или электрохимическую обработку переходной поверхности  

Возможные значения:
 
 Способ термообработки:
  НОРМАЛИЗАЦИЯ
  УЛУЧШЕНИЕ
  ОБЪЕМНАЯ_ЗАКАЛКА
  ЦЕМЕНТАЦИЯ
  АЗОТИРОВАНИЕ
  НИТРОЦЕМЕНТАЦИЯ
  ЗАКАЛКА_ТВЧ
  ОТЖИГ
  ПОВЕРХНОСТНАЯ_ЗАКАЛКА
 
 Способ получения заготовки:
  ПОКОВКА
  ШТАМПОВКА
  ПРОКАТ
  ЛИТЬЕ 

 Единицы измерения:
  HB
  HV
  HRC
  
 Тип стали:
  Л - Легированная
  У - Углеродистая 
  
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| МАТЕРИАЛ  |   Cпособ           |   Способ    |   Ho    | Ед. из-я |   Hk   | Ед. из-я | SIGMA_Flimb |  Sf   | SIGMA_Fst | SIGMA_T |   E      |   V    |  Тип   |   Yg   |   Yd   |
|           |   термо-           |  получения  |         |    Ho    |        |    Нk    |             |       |           |         | 10^5,Мпа |        | стали  |        |        |
|           |   обработки        |  заготовки  |         |          |        |          |             |       |           |         |          |        |        |        |        |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|12Х2Н4А    |  ЦЕМЕНТАЦИЯ        |  ПОКОВКА    |     62  |   HRC    |   340  |    HB    |      820    |  1.55 |    2800   |   1000  |    2.1   |   0.3  |   Л    |   0.75 |    -   |
|25ХГМ      |  НИТРОЦЕМЕНТАЦИЯ   |  ПОКОВКА    |     58  |   HRC    |    38  |    HRC   |     1000    |  1.55 |    2500   |   1400  |    2.1   |   0.3  |   Л    |   0.7  |    -   |
|40ХН       |  ОБЪЕМНАЯ_ЗАКАЛКА  |  ПРОКАТ     |     50  |   HRC    |   380  |    HB    |      580    |   1.7 |    2500   |    850  |    2.1   |   0.3  |   Л    |    -   |    -   |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
