+-------------------------------------------------
|    дхюлерпш пнкхйнб (ьюпхйнб) дкъ хглепемхъ 
|     		ькхжеб щбнкэб. янедхмемхи
|                    он цняр 2475-62
+----------------------------------------------------------------------------------------------------------------------------+
|1|1.25|1.4|1.5|1.75|2|2.25|2.5|2.75|3|3.25|3.5|4|4.25|4.5|5|5.25|5.5|6|6.5|7|8|9|10|11|12|13.5|14|15|16|18|20|22|25|28|30|35|
+----------------------------------------------------------------------------------------------------------------------------+

