        йнщттхжхемрш X Y дкъ пюяверю дхмюлхвеяйни мюцпсгйх

                     сцнк йнмрюйрю - 12
+----------+----+------------+------------+------------+------------╛
 i*Fa/C0   | e  | ндмнпъдмше | ндмнпъдмше | дбсупъдмше | дбсупъдмше |
           |    |(Fa/V*Fr)<=e|(Fa/V*Fr)>e |(Fa/V*Fr)<=e|(Fa/V*Fr)>e |
           |    |  X  |  Y   |  X  |  Y   |  X  |  Y   |  X  |  Y   |
+----------+----+-----+------+-----+------+-----+------+-----+------+
0.000-0.014|0.30|  1  |  0   |0.45 |1.81  |  1  |2.08  |0.74 |2.94  |
0.014-0.029|0.34|  1  |  0   |0.45 |1.62  |  1  |1.84  |0.74 |2.63  |
0.029-0.057|0.37|  1  |  0   |0.45 |1.46  |  1  |1.69  |0.74 |2.37  |
0.057-0.086|0.41|  1  |  0   |0.45 |1.34  |  1  |1.52  |0.74 |2.18  |
0.086-0.110|0.45|  1  |  0   |0.45 |1.22  |  1  |1.39  |0.74 |1.98  |
0.110-0.170|0.48|  1  |  0   |0.45 |1.13  |  1  |1.30  |0.74 |1.84  |
0.170-0.290|0.52|  1  |  0   |0.45 |1.04  |  1  |1.20  |0.74 |1.69  |
0.290-0.430|0.54|  1  |  0   |0.45 |1.01  |  1  |1.16  |0.74 |1.64  |
0.430-9.999|0.54|  1  |  0   |0.45 |1.00  |  1  |1.16  |0.74 |1.62  |
+----------+----+-----+------+-----+------+-----+------+-----+------+
---------------------------------------------------------------------
