		коэфф деформации червяка
+------------+---------+---------+---------------+
|     Z1     |                q                  |
|            |-----------------------------------+
|            | 7.5| 8  | 9  | 10 | 12 | 14 | 16  |
+------------+-----------------------------------+
|    1       | 63 | 72 | 89 | 108| 147| 179| 194 |
|    2       | 50 | 57 | 71 | 86 | 117| 149| 163 |
|    3       | 46 | 51 | 61 | 76 | 103| 131| 144 |
|    4       | 42 | 47 | 58 | 70 | 94 | 130| 131 |
+----------------------------------------------- +
  
