		коэфф формы зуба Yf
+------------------------------------------------------------------------------------+
|    Zv      |  28  |  30  |  35  |  40  |  45  |  50  |  65  |  80  |  100  |  150  |
+------------------------------------------------------------------------------------+
|    Yf      | 2.43 | 2.41 | 2.32 | 2.27 | 2.22 | 2.19 | 2.12 | 2.09 | 2.08  | 2.04  |
+------------------------------------------------------------------------------------+
  
